Name;lat;long;link
JL. YOS SUDARSO (MIE GACOAN);-7.78839432;110.3749674;https://www.sample-videos.com/video321/mp4/720/big_buck_bunny_720p_1mb.mp4
SIMPANG ATMOSUKARTO (PTZ);-7.78810343;110.3783575;https://cctvjss.jogjakota.go.id/atcs/ATCS_Simpang_Atmosukarto.stream/playlist.m3u8
SIMPANG UKDW (PTZ);-7.78723143;110.3786148;https://cctvjss.jogjakota.go.id/atcs/ATCS_ukdw.stream/playlist.m3u8
JL. F.M. NOTO (GARDU ANIEM);-7.78691244;110.3723866;https://cctvjss.jogjakota.go.id/kotabaru/ANPR-Jl-FM-Noto-Gardu-Aniem.stream/playlist.m3u8
JL. NYOMAN OKA (GEREJA KOTABARU);-7.78804616;110.3714281;https://cctvjss.jogjakota.go.id/kotabaru/Jl-Nyoman-Oka.stream/playlist.m3u8
JL. AHMAD JAZULI (APOTEK K24);-7.78943553;110.3697208;https://cctvjss.jogjakota.go.id/kotabaru/ANPR-Jl-Ahmad-Jazuli.stream/playlist.m3u8
JL. PRAU (FAVE HOTEL);-7.78519937;110.3699354;https://cctvjss.jogjakota.go.id/kotabaru/ANPR-Jl-Prau.stream/playlist.m3u8
JL. F.M. NOTO (RAMINTEN);-7.78514372;110.3716708;https://cctvjss.jogjakota.go.id/kotabaru/ANPR-Jl-FM-Noto-Raminten.stream/playlist.m3u8
SIMPANG MIROTA (PTZ);-7.77618003;110.3743329;https://cctvjss.jogjakota.go.id/atcs/ATCS_mirota.stream/playlist.m3u8
SIMPANG GALERIA (PTZ);-7.78295021;110.379224;https://cctvjss.jogjakota.go.id/atcs/ATCS_Simpang_Galeria_TimurSelatan.stream/playlist.m3u8
SIMPANG GRAMEDIA;-7.78301616;110.3748616;https://cctvjss.jogjakota.go.id/atcs/ATCS_gramedia.stream/playlist.m3u8
SIMPANG GRAMEDIA 2 (PTZ);-7.78296195;110.374898;https://cctvjss.jogjakota.go.id/atcs/ATCS_Gramedia_2.stream/playlist.m3u8
JL. SUROTO (DEPAN GERBANG RUMDIN WAWALI);-7.78365818;110.3747337;https://cctvjss.jogjakota.go.id/kotabaru/Jl-Suroto.stream/playlist.m3u8
JL. JUADI (POJOK UTARA-BARAT TELKOM);-7.78586466;110.3745965;https://cctvjss.jogjakota.go.id/kotabaru/Jl-Juadi.stream/playlist.m3u8
JL. SAJIONO (ROEMI);-7.78574135;110.3743416;https://cctvjss.jogjakota.go.id/kotabaru/Jl-Sajiono.stream/playlist.m3u8\
SIMPANG TERBAN VIEW BARAT;-7.78274649;110.3723422;https://cctvjss.jogjakota.go.id/atcs/ATCS_Simpang_Terban_View_Barat.stream/playlist.m3u8
SIMPANG TERBAN VIEW UTARA;-7.78262902;110.3722959;https://cctvjss.jogjakota.go.id/atcs/ATCS_Simpang_Terban_View_Utara.stream/playlist.m3u8
SIMPANG TERBAN VIEW TIMUR;-7.78272176;110.3722212;https://cctvjss.jogjakota.go.id/atcs/ATCS_Simpang_Terban_View_Timur.stream/playlist.m3u8
JL. F.M. NOTO (MCDONALDS);-7.78318128;110.3715326;https://cctvjss.jogjakota.go.id/kotabaru/ANPR-Jl-FM-Noto-McDonalds.stream/playlist.m3u8
SIMPANG TUGU (PTZ);-7.78285567;110.3671181;https://cctvjss.jogjakota.go.id/atcs/ATCS_Simpang_Tugu.stream/playlist.m3u8
SIMPANG JETIS (PTZ);-7.7781211;110.3676165;https://cctvjss.jogjakota.go.id/atcs/ATCS_Jetis.stream/playlist.m3u8
